utc_time,latitude,longitude,pressure_dbar,temperature_c,conductivity_sm,turbidity_ftu,oxygen_raw_v,orp
2025-04-11T18:53:12Z,27.113036,-165.446173,52.805000,21.192800,4.936501,0.648000,2.581600,126.129430
2025-04-11T18:53:13Z,27.113036,-165.446168,52.832000,21.192900,4.936505,0.649000,2.582000,126.129430
2025-04-11T18:53:14Z,27.113037,-165.446163,52.794000,21.193000,4.936512,0.650000,2.582100,126.129430
2025-04-11T18:53:15Z,27.113038,-165.446158,52.833000,21.193400,4.936557,0.652000,2.582400,126.119250
2025-04-11T18:53:16Z,27.113039,-165.446153,52.813000,21.193500,4.936575,0.655000,2.582500,126.129430
2025-04-11T18:53:17Z,27.113039,-165.446148,52.792000,21.193500,4.936581,0.648000,2.582500,126.109080
2025-04-11T18:53:18Z,27.113040,-165.446144,52.801000,21.193300,4.936555,0.649000,2.582100,126.129430
2025-04-11T18:53:19Z,27.113044,-165.446139,52.835000,21.193400,4.936567,0.651000,2.581900,126.119250
2025-04-11T18:53:20Z,27.113047,-165.446135,52.817000,21.193500,4.936566,0.656000,2.582300,126.098900
2025-04-11T18:53:21Z,27.113051,-165.446131,52.801000,21.193600,4.936587,0.653000,2.582800,126.098900
2025-04-11T18:53:22Z,27.113054,-165.446127,52.801000,21.193500,4.936561,0.651000,2.582700,126.068380
2025-04-11T18:53:23Z,27.113058,-165.446123,52.805000,21.193700,4.936591,0.654000,2.583200,126.088730
2025-04-11T18:53:24Z,27.113061,-165.446119,52.853000,21.193400,4.936547,0.649000,2.583500,126.098900
2025-04-11T18:53:25Z,27.113065,-165.446115,52.771000,21.193300,4.936548,0.650000,2.583600,126.037850
